,Happiness_M,Happiness_F,GDP_capita,Public_debt,fertility,Unemployment
Personal_care,-0.61403893,-0.37625734,-0.049890182,0.35886393,-0.048286091,0.153340847
Sleeping,-0.532703162,-0.492488485,-0.404614223,0.18444971,-0.177569454,0.516609859
Eating,-0.414266892,-0.295260869,-0.031688547,0.429796691,-0.078102981,0.285983992
Work,-0.148277961,-0.213216229,-0.104625415,-0.246854473,-0.148682097,-0.280002528
Studying,0.637682097,0.514572197,0.347674807,0.073007253,0.26937719,-0.011475764
Household,-0.042364447,-0.532872569,-0.273877405,-0.400774453,-0.011368923,0.284874252
Food,0.451914543,-0.709766525,0.475679813,-0.168172499,0.406583053,-0.42822311
Chores,0.371380472,-0.321193049,0.398062107,0.025520728,0.113184752,-0.278791418
Construction,0.299420835,-0.194372066,0.044414982,-0.277285522,0.023914003,0.082810927
Gardening,-0.682421295,-0.526351482,-0.552781301,-0.039894278,-0.15878211,0.682790169
Shopping,0.599018369,0.557867323,0.471653578,0.218106694,0.086394122,-0.19019738
Childcare,0.588004726,0.460533389,0.604886715,0.22364761,0.420815795,-0.231831337
Social_life,0.62748933,0.697046613,0.320030785,0.061589906,0.29451334,-0.147261363
Sports,0.27462723,0.26845109,0.135129025,0.317550372,0.24832974,0.111275903
Hobbies,0.168078817,0.651287828,0.073068339,0.235544195,-0.012593802,0.141373091
Computing,0.437493322,0.51247184,0.307494272,0.205398772,0.193059174,-0.0686216
Reading,0.520460433,0.543576978,-0.063108633,-0.379169205,-0.115592299,-0.294036807
TV_Radio,-0.086349068,0.043504077,-0.057922253,-0.228752793,-0.016553907,-0.060789977
Travel,0.152547387,0.381687294,0.143066869,0.294174836,-0.133222905,-0.123799334
